baseCurrency,currency,saleRateNB,purchaseRateNB,saleRate,purchaseRate
UAH,USD,27.0275,27.0275,27.18,26.75
UAH,PLZ,7.2526,7.2526,7.35,7.05
UAH,EUR,32.7722,32.7722,32.95,32.35
